x,y,p1,p2,p3,p4
0,0,0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,0.0021951000000000006
0,2,0.0,0.0,0,0.025200000000000004
0,3,0.0,0.0,0,0.04120885004689081
0,4,0.0024399083029258807,0.0,0.0,0.0
1,0,0.0,0.023918454360000008,0.0,0.0
1,1,0.0,0.17054408340000005,0.0,0.0
1,2,0,0.0,0.0,0.6125795110000001
1,3,0.0,0.0,0.0,0.38328745455054236
1,4,0,0,0.0,0.0
2,0,0.0,0.055132155990000015,0.0,0.0
2,1,0,0.7458134171671,0.0,0
2,2,0,0,0,0.07534062000000001
2,3,0.8905810108684877,0,0.02156107214590215,0.016491823463343516
2,4,0.2110722697311353,0.0,0,0.0
3,0,0.0,0.008569906110000003,0.0,0.0
3,1,0,0,0.26748568704393005,0.0019901941299000003
3,2,0,0.0,0.5217031000000001,0.0008100000000000002
3,3,0.0171,7.290000000000002e-05,0.29059156401136815,0
3,4,0.03883261888043252,0.0,0.007787910754503902,0.0
4,0,0.0,7.290000000000002e-05,0.0,0.0
4,1,0.0,0.0,0.053148375846063016,0.0
4,2,0.0,0.0,0.04634100000000001,0.0
4,3,0.0,0,0.003514590000000001,0.0
4,4,0.0,0.0,0.002578658808249001,1.2465900000000005e-05
